x,y,xhat,yhat,belief_id,uncertainty
0,0,0,0,0,0
0,0,1,0,1,586
1,0,1,0,1,586
0,1,1,0,1,586
0,0,2,0,2,1134
1,0,2,0,2,1134
0,1,2,0,2,1134
2,0,2,0,2,1134
1,1,2,0,2,1134
0,2,2,0,2,1134
0,0,3,0,3,1644
1,0,3,0,3,1644
0,1,3,0,3,1644
1,0,1,0,0,0
2,0,3,0,3,1644
1,1,3,0,3,1644
0,1,0,1,0,0
0,2,3,0,3,1644
2,0,2,0,0,0
3,0,3,0,3,1644
2,1,3,0,3,1644
1,1,1,1,0,0
1,2,3,0,3,1644
0,2,0,2,0,0
0,3,3,0,3,1644
0,0,3,1,4,2130
1,0,3,1,4,2130
0,1,3,1,4,2130
2,0,3,1,4,2130
1,1,3,1,4,2130
0,2,3,1,4,2130
0,0,2,0,5,588
2,0,2,0,5,588
1,0,2,0,5,588
1,1,2,0,5,588
3,0,3,1,4,2130
2,1,3,1,4,2130
1,2,3,1,4,2130
0,1,0,0,6,588
1,1,0,0,6,588
0,0,0,0,6,588
0,2,0,0,6,588
0,3,3,1,4,2130
1,0,3,0,5,588
3,0,3,0,5,588
2,0,3,0,5,588
2,1,3,0,5,588
3,0,3,0,0,0
4,0,3,1,4,2130
3,1,3,1,4,2130
2,1,2,1,0,0
2,2,3,1,4,2130
1,2,1,2,0,0
1,3,3,1,4,2130
0,3,0,3,0,0
0,4,3,1,4,2130
0,0,3,2,7,2585
1,0,3,2,7,2585
0,1,3,2,7,2585
2,0,3,2,7,2585
1,1,3,2,7,2585
0,2,3,2,7,2585
3,0,3,2,7,2585
2,1,3,2,7,2585
1,2,3,2,7,2585
0,3,3,2,7,2585
0,0,3,0,8,1136
1,0,3,0,8,1136
0,1,3,0,8,1136
3,0,3,0,8,1136
2,0,3,0,8,1136
2,1,3,0,8,1136
1,1,3,0,8,1136
1,2,3,0,8,1136
4,0,3,2,7,2585
3,1,3,2,7,2585
2,2,3,2,7,2585
1,3,3,2,7,2585
0,1,1,0,9,1138
1,1,1,0,9,1138
0,0,1,0,9,1138
0,2,1,0,9,1138
2,1,1,0,9,1138
1,0,1,0,9,1138
1,2,1,0,9,1138
0,3,1,0,9,1138
0,4,3,2,7,2585
0,0,3,1,10,1139
2,0,3,1,10,1139
1,0,3,1,10,1139
1,1,3,1,10,1139
4,0,3,1,10,1139
3,0,3,1,10,1139
3,1,3,1,10,1139
2,1,3,1,10,1139
2,2,3,1,10,1139
2,0,3,1,11,588
4,0,3,1,11,588
3,0,3,1,11,588
3,1,3,1,11,588
4,0,4,0,0,0
5,0,3,2,7,2585
4,1,3,2,7,2585
3,1,3,1,0,0
3,2,3,2,7,2585
1,1,2,2,12,588
3,1,2,2,12,588
2,0,2,2,12,588
2,2,2,2,12,588
2,2,2,2,0,0
2,3,3,2,7,2585
0,2,2,2,13,588
2,2,2,2,13,588
1,1,2,2,13,588
1,3,2,2,13,588
1,3,1,3,0,0
1,4,3,2,7,2585
0,4,0,4,0,0
0,5,3,2,7,2585
0,0,4,2,14,3006
1,0,4,2,14,3006
